patient_id,patient_name,aadhaar_number,age,blood_pressure,heart_rate,oxygen_saturation,blood_sugar,bmi,hemoglobin,platelets,doctor_notes,risk_level
P-10000,Patient_0,3190-3712-3192,49,141,97,98.4,234,28.1,16.0,271999,"Patient Name: Patient_0, Aadhaar: 3190-3712-3192. Complaining of acute chest pain and dyspnea. Dr. Sharma attending.",1
P-10001,Patient_1,2248-5033-2997,68,104,83,98.4,235,31.9,12.2,264793,"Patient Name: Patient_1, Aadhaar: 2248-5033-2997. Routine health checkup. Vitals within normal limits. Dr. Gupta attending.",1
P-10002,Patient_2,4687-5018-2970,75,150,64,98.8,152,33.2,14.4,162289,"Patient Name: Patient_2, Aadhaar: 4687-5018-2970. Admitted with elevated blood pressure and severe fatigue. Dr. Patel attending.",1
P-10003,Patient_3,9389-6765-2202,43,110,93,99.2,205,20.8,14.5,326048,"Patient Name: Patient_3, Aadhaar: 9389-6765-2202. Follow-up consultation for type-2 diabetes management. Dr. Rao attending.",1
P-10004,Patient_4,9135-6567-8667,63,113,65,96.0,178,32.9,15.0,324668,"Patient Name: Patient_4, Aadhaar: 9135-6567-8667. Mild fever and body ache observed. Prescribed antipyretics. Dr. Singh attending.",1
P-10005,Patient_5,6742-6788-6408,46,92,81,96.0,134,26.1,11.7,381513,"Patient Name: Patient_5, Aadhaar: 6742-6788-6408. Complaining of acute chest pain and dyspnea. Dr. Sharma attending.",0
P-10006,Patient_6,9669-1922-1419,21,111,70,98.3,155,22.5,14.9,407368,"Patient Name: Patient_6, Aadhaar: 9669-1922-1419. Routine health checkup. Vitals within normal limits. Dr. Gupta attending.",0
P-10007,Patient_7,3204-2120-1950,30,142,107,97.1,214,25.6,16.0,236365,"Patient Name: Patient_7, Aadhaar: 3204-2120-1950. Admitted with elevated blood pressure and severe fatigue. Dr. Patel attending.",1
P-10008,Patient_8,3336-6373-3243,56,91,75,97.5,140,33.7,12.0,380662,"Patient Name: Patient_8, Aadhaar: 3336-6373-3243. Follow-up consultation for type-2 diabetes management. Dr. Rao attending.",1
P-10009,Patient_9,3645-5612-2865,32,119,92,98.3,114,26.1,12.3,325211,"Patient Name: Patient_9, Aadhaar: 3645-5612-2865. Mild fever and body ache observed. Prescribed antipyretics. Dr. Singh attending.",0
P-10010,Patient_10,7028-8326-7371,46,127,68,99.0,201,23.6,16.3,329785,"Patient Name: Patient_10, Aadhaar: 7028-8326-7371. Complaining of acute chest pain and dyspnea. Dr. Sharma attending.",1
P-10011,Patient_11,7359-8863-4228,46,91,65,94.7,105,28.3,12.0,222588,"Patient Name: Patient_11, Aadhaar: 7359-8863-4228. Routine health checkup. Vitals within normal limits. Dr. Gupta attending.",1
P-10012,Patient_12,4719-3371-3891,49,153,75,95.0,139,22.2,15.7,213646,"Patient Name: Patient_12, Aadhaar: 4719-3371-3891. Admitted with elevated blood pressure and severe fatigue. Dr. Patel attending.",1
P-10013,Patient_13,4756-5225-1094,19,149,88,92.7,228,19.7,13.7,415798,"Patient Name: Patient_13, Aadhaar: 4756-5225-1094. Follow-up consultation for type-2 diabetes management. Dr. Rao attending.",1
P-10014,Patient_14,3674-7898-1793,64,110,62,96.6,88,20.5,12.4,430887,"Patient Name: Patient_14, Aadhaar: 3674-7898-1793. Mild fever and body ache observed. Prescribed antipyretics. Dr. Singh attending.",0
